year,paragraph_id,actors
1998,36,"AOSIS, AUSTRALIA, BRAZIL, CANADA, CHINA, EUROPEAN UNION, G77, ICELAND, JAPAN, NETHERLANDS, NEW ZEALAND, NEW ZELAND, NORWAY, RUSSIA, SLOVENIA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1998,39,"AFRICAN GROUP, AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, HONDURAS, ICELAND, JAPAN, KUWAIT, NEW ZEALAND, NORWAY, QATAR, RUSSIA, SAUDI ARABIA, SOUTH AFRICA, SWITZERLAND, UGANDA, UNITED STATES OF AMERICA (USA)"
1998,40,"AUSTRALIA, CHINA, COLOMBIA, EUROPEAN UNION, G77, JAPAN, KUWAIT, NORWAY, POLAND, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1998,42,"ALGERIA, AUSTRALIA, BANGLADESH, CANADA, CHINA, ECUADOR, EUROPEAN UNION, G77, GAMBIA, GERMANY, INDONESIA, IRAN, JAPAN, KUWAIT, LEBANON, MARSHALL ISLANDS, MOROCCO, NIGERIA, SAUDI ARABIA, SWITZERLAND, SYRIA, UNITED STATES OF AMERICA (USA)"
1998,43,"JAPAN, UNITED STATES OF AMERICA (USA)"
1998,44,"ARGENTINA, JORDAN, TURKEY"
1998,47,"AOSIS, ARGENTINA, AUSTRALIA, BAHAMAS, BENIN, BOLIVIA, CARIBBEAN COMMUNITY (CARICOM/CC), CHILE, CHINA, CROATIA, CUBA, ECUADOR, EGYPT, ETHIOPIA, EUROPEAN UNION, FINLAND, FRANCE, G77, GAMBIA, GHANA, HAITI, HONDURAS, HUNGARY, JAPAN, LITHUANIA, NEPAL, NEW ZEALAND, NICARAGUA, NORWAY, PERU, QATAR, RUSSIA, SAUDI ARABIA, SOUTH KOREA, SPAIN, SWEDEN, SYRIA, TANZANIA, THAILAND, UGANDA, UNITED STATES OF AMERICA (USA)"
1998,48,"ALGERIA, AOSIS, ARGENTINA, AUSTRALIA, BRAZIL, CANADA, CARIBBEAN COMMUNITY (CARICOM/CC), CHILE, CHINA, CROATIA, DENMARK, EGYPT, EUROPEAN UNION, FINLAND, FRANCE, G77, GHANA, JAPAN, MEXICO, MOROCCO, NETHERLANDS, NEW ZEALAND, NORWAY, POLAND, SAUDI ARABIA, SOUTH KOREA, SPAIN, THAILAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
1998,50,"AUSTRALIA, BENIN, BRAZIL, BURUNDI, CHINA, COLOMBIA, DENMARK, DJIBOUTI, ECUADOR, EUROPEAN UNION, FINLAND, FRANCE, G77, GAMBIA, GERMANY, GREECE, INDIA, KENYA, MEXICO, POLAND, RUSSIA, SOUTH AFRICA, SWEDEN, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA), ZIMBABWE"
1998,51,"ARMENIA, CENTRAL AFRICAN REPUBLIC, INDONESIA, IRAN, JORDAN, POLAND, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
