year,paragraph_id,actors
1998,1,"ARGENTINA, AUSTRIA, CANADA, FINLAND, FRANCE, GERMANY, ICELAND, NETHERLANDS, NORWAY, SWEDEN, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
1998,3,ARGENTINA
1998,4,GERMANY
1998,11,"CHINA, EUROPEAN UNION, G77, GERMANY, JAPAN, UNITED STATES OF AMERICA (USA)"
1998,12,"ARGENTINA, CHINA, DENMARK, G77, GAMBIA, GEORGIA, GERMANY, INDONESIA, JAPAN, KUWAIT, MALAYSIA, MARSHALL ISLANDS, MAURITANIA, NORWAY, POLAND, SAUDI ARABIA, SENEGAL, UNITED KINGDOM (UK)"
1998,15,"ALGERIA, AUSTRALIA, BRAZIL, CHILE, CHINA, COLOMBIA, CUBA, G77, INDIA, INDONESIA, IRAN, JAPAN, KUWAIT, QATAR, SAUDI ARABIA, SOUTH AFRICA, TANZANIA, THAILAND, UGANDA, UNITED STATES OF AMERICA (USA), ZIMBABWE"
1998,16,"ARGENTINA, AUSTRIA, CANADA, CHINA, EUROPEAN UNION, HUNGARY, INDIA, JAPAN, NEW ZEALAND, POLAND, RUSSIA, SAUDI ARABIA, UNITED STATES OF AMERICA (USA)"
1998,17,"BRAZIL, CANADA, MALAYSIA, NORWAY, POLAND, SOUTH AFRICA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1998,19,"AOSIS, ARGENTINA, AUSTRALIA, AUSTRIA, BARBADOS, BRAZIL, CANADA, ICELAND, JAPAN, PHILIPPINES, RUSSIA, UNITED STATES OF AMERICA (USA)"
1998,20,"AUSTRALIA, NORWAY, RUSSIA, TANZANIA, UNITED STATES OF AMERICA (USA)"
1998,23,"AOSIS, AUSTRALIA, BRAZIL, CANADA, CHINA, EUROPEAN UNION, GEORGIA, INDONESIA, SOUTH KOREA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1998,24,"CHINA, EUROPEAN UNION, G77, PHILIPPINES, THAILAND, UNITED STATES OF AMERICA (USA)"
1998,26,"CHINA, EUROPEAN UNION, G77, JAPAN, RUSSIA, UNITED STATES OF AMERICA (USA)"
1998,27,"AUSTRALIA, CANADA, IRAN, SAUDI ARABIA, SENEGAL, SWEDEN, UNITED STATES OF AMERICA (USA)"
1998,28,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, NORWAY, PAKISTAN, PHILIPPINES, SAUDI ARABIA, TURKEY, UNITED STATES OF AMERICA (USA)"
1998,31,"CANADA, CHILE, CHINA, COLOMBIA, EUROPEAN UNION, G77, MAURITANIA, NEW ZEALAND, NORWAY, PHILIPPINES, RUSSIA, SAUDI ARABIA, SOUTH AFRICA, SOUTH KOREA, UNITED STATES OF AMERICA (USA)"
1998,32,"CHINA, EUROPEAN UNION, G77, UNITED STATES OF AMERICA (USA)"
1998,34,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, MAURITANIA, NEW ZEALAND, NIGERIA, NORWAY, SAUDI ARABIA, UNITED STATES OF AMERICA (USA), ZIMBABWE"
1998,35,"CANADA, NIGERIA, UNITED STATES OF AMERICA (USA)"
