Source,Target,Weight,Start,End
IRAN,RUSSIA,4,1996,1996
BANGLADESH,IRAN,2,1996,1996
IRAN,SWITZERLAND,2,1996,1996
IRAN,TURKEY,1,1996,1996
PHILIPPINES,SOUTH KOREA,2,1996,1996
GERMANY,SOUTH KOREA,2,1996,1996
KUWAIT,SOUTH KOREA,2,1996,1996
SOUTH AFRICA,SOUTH KOREA,1,1996,1996
OPEC,SOUTH KOREA,1,1996,1996
SOUTH KOREA,USA,2,1996,1996
COSTA RICA,SOUTH KOREA,2,1996,1996
RUSSIA,SOUTH KOREA,2,1996,1996
BANGLADESH,SOUTH KOREA,2,1996,1996
SOUTH KOREA,SWITZERLAND,3,1996,1996
SOUTH KOREA,TURKEY,1,1996,1996
GERMANY,PHILIPPINES,2,1996,1996
KUWAIT,PHILIPPINES,3,1996,1996
PHILIPPINES,SOUTH AFRICA,1,1996,1996
OPEC,PHILIPPINES,1,1996,1996
PHILIPPINES,USA,4,1996,1996
COSTA RICA,PHILIPPINES,2,1996,1996
PHILIPPINES,RUSSIA,3,1996,1996
BANGLADESH,PHILIPPINES,2,1996,1996
PHILIPPINES,SWITZERLAND,3,1996,1996
PHILIPPINES,TURKEY,1,1996,1996
GERMANY,KUWAIT,4,1996,1996
GERMANY,SOUTH AFRICA,1,1996,1996
GERMANY,OPEC,1,1996,1996
COSTA RICA,GERMANY,1,1996,1996
BANGLADESH,GERMANY,1,1996,1996
GERMANY,TURKEY,1,1996,1996
KUWAIT,SOUTH AFRICA,1,1996,1996
KUWAIT,OPEC,1,1996,1996
KUWAIT,USA,6,1996,1996
COSTA RICA,KUWAIT,2,1996,1996
KUWAIT,RUSSIA,5,1996,1996
BANGLADESH,KUWAIT,3,1996,1996
KUWAIT,SWITZERLAND,3,1996,1996
KUWAIT,TURKEY,1,1996,1996
OPEC,SOUTH AFRICA,1,1996,1996
SOUTH AFRICA,USA,2,1996,1996
COSTA RICA,SOUTH AFRICA,1,1996,1996
RUSSIA,SOUTH AFRICA,1,1996,1996
BANGLADESH,SOUTH AFRICA,1,1996,1996
SOUTH AFRICA,SWITZERLAND,1,1996,1996
SOUTH AFRICA,TURKEY,1,1996,1996
OPEC,USA,1,1996,1996
COSTA RICA,OPEC,1,1996,1996
OPEC,RUSSIA,1,1996,1996
BANGLADESH,OPEC,1,1996,1996
OPEC,SWITZERLAND,1,1996,1996
OPEC,TURKEY,1,1996,1996
COSTA RICA,USA,3,1996,1996
BANGLADESH,USA,4,1996,1996
SWITZERLAND,USA,3,1996,1996
TURKEY,USA,1,1996,1996
COSTA RICA,RUSSIA,2,1996,1996
BANGLADESH,COSTA RICA,3,1996,1996
